Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Бабариченко,Богуслава,Максимівна,female,2004-04-09,Асистент керівника,село Бровари,"парк Депутатський, буд. 615 кв. 2, Червоноград, 57143",044 735-88-08,alevtyn99@example.net
Малишко,Людмила,Михайлівна,female,1957-11-30,Аналітик даних,хутір Чугуїв,"набережна Пролетарський 3-й, буд. 9, Новоукраїнка, 28286",056 906-87-28,artem84@example.com
Терещук,Едуард,Данилович,male,1960-02-21,Копірайтер,селище Роздільна,"проспект Віри Інбер, буд. 8 кв. 3, Кролевець, 99260",+380 25 265-88-83,ekalchenko@example.net
Сич,Кирило,Федорович,male,1963-01-14,Бухгалтер,хутір Збараж,"шосе Маразліївська, буд. 935 кв. 64, Тячів, 86043",005 564-97-50,danchenkoedyta@example.org
Юхименко,Варвара,Захарівна,female,1993-05-09,Аудитор,селище Кремінна,"провулок Сибірська, буд. 783, Конотоп, 53623",874-82-83,alekseienkosviatoslava@example.net
Гоголь-Яновський,Омелян,Марківич,male,1988-01-28,Кадровий менеджер,хутір Нове Давидково,"парк Фонтанська дорога, буд. 866, Борщів, 79914",+380 (38) 174-45-09,iosyp52@example.net
Ірванець,Віктор,Михайлович,male,1988-10-14,Архітектор,місто Сулимівка (Слов'янськ),"вулиця Польова, буд. 955, Полонне, 68799",038 12 15,vzinchuk@example.net
Конопля,Костянтин,Кирилович,male,1948-07-28,Системний адміністратор,місто Остер ,"набережна Мечникова, буд. 978 кв. 403, Лисичанськ, 17581",043 904 69 87,bohdanartym@example.com
Яремчук,Єлисавета,Остапівна,female,1977-06-25,Програміст,село Луцьк,"площа Естонський, буд. 86 кв. 9, Берислав, 62154",320-76-60,bevzzlatoslava@example.org
Батюк,Одарка,Геннадіївна,female,1953-12-07,Тестувальник,село Новоград-Волинський,"сквер Восьмого березня узвіз, буд. 3, Угнів, 67754",+380 30 125 54 13,trokhym57@example.com
Бабариченко,Вадим,Мар'янович,male,2003-03-11,Програміст,селище Березівка,"провулок Перлинна, буд. 297, Борзна, 16386",081 555 96 67,hryhoriiholyk@example.net
Яремко,Климент,Михайлович,male,1996-05-19,Дизайнер,хутір Золотоноша,"шосе Академіка Богатського, буд. 97 кв. 833, Благовіщенське, 66521",410-01-18,uakulenko@example.net
Байдак,Орина,Сергіївна,female,1950-08-12,Офіс-менеджер,хутір Мирноград,"набережна Любашівський, буд. 8, Білозерське, 48111",+380 50 810-60-70,vakhniikostiantyn@example.com
Жук,Юстим,Данилович,male,1967-04-10,Системний адміністратор,хутір Шумськ,"набережна Амундсена, 3-й, буд. 622 кв. 1, Шостка, 44331",088 597 29 58,lukianakulenko@example.net
Зінчук,Олег,Андрійович,male,1964-10-09,Асистент керівника,село Часів Яр,"парк Студентський 4-й, буд. 4 кв. 425, Новогродівка, 69996",051 954 34 43,redkohennadii@example.com
Данченко,Галина,Тарасівна,female,1955-01-15,Менеджер з маркетингу,хутір Енергодар,"сквер Аполона Скальковського, буд. 50, Селидове, 60974",117 05 73,illiailchenko@example.org
Полтавець,Аркадій,Петрович,male,2006-03-25,PR-менеджер,хутір Бахмач,"сквер Рибальський, буд. 022, Шепетівка, 18706",+380 37 926 44 40,oles32@example.com
Шеремет,Єлисей,Вікторович,male,1953-04-11,Бухгалтер,село Першотравенськ,"проспект Іспанський, буд. 303, Звенигородка, 73759",001 948-83-29,vadym35@example.org
Бабій,Микита,Володимирович,male,2004-04-02,HR-менеджер,місто Турка,"площа Сливова, буд. 0, Вилкове, 77669",+380 64 132 24 71,iermolenkoiustyna@example.net
Байрак,Ада,Федорівна,female,2003-02-06,Копірайтер,місто Дніпрорудне,"набережна Гімназична, буд. 270, Залізне, 87611",087 224 85 57,viktorartemenko@example.com
Петренко,Тарас,Кирилович,male,1972-12-11,Системний адміністратор,село Мена ,"вулиця Лінійна, буд. 4 кв. 83, Кагарлик, 08785",+380 93 713-82-53,geregaamvrosii@example.org
Фоменко,Артем,Романович,male,1946-12-29,Програміст,село Куп'янськ,"площа Горбатий міст, буд. 03 кв. 394, Бахмач, 96458",920-40-54,livasiuk@example.org
Хмара,Валерій,Костянтинович,male,1980-09-13,Програміст,хутір Берегове,"площа Дача Ковалевського, буд. 59, Лисичанськ, 82425",234-21-51,pvalenko@example.org
Деряжний,Кирило,Леонідович,male,2006-10-06,PR-менеджер,село Ланівці,"провулок Жоліо-Кюрі, буд. 788 кв. 29, Татарбунари, 96102",+380 90 981-67-27,haidamakaivan@example.com
Арсенич,Едита,Андріївна,female,1999-02-06,Менеджер з продукту,місто Болград,"парк Ванцетті, буд. 2, Борщів, 66499",098 946-03-09,aatamanchuk@example.net
Колодуб,Мирослав,Михайлович,male,1977-12-24,Системний адміністратор,місто Одеса,"набережна Одеса-Головна, буд. 92, Карлівка, 84945",083 407 78 91,onufriienkohennadii@example.com
Базавлученко,Любов,Павлівна,female,1983-07-11,Архітектор,селище Чистякове,"набережна Банний, буд. 3 кв. 384, Мар'їнка, 75488",+380 (39) 465-86-83,pneporozhnii@example.com
Євтушок,Арсен,Юрійович,male,1976-04-12,HR-менеджер,село Охтирка,"сквер Ушинського, буд. 658 кв. 447, Володимир-Волинський, 33201",416-83-65,rartiukh@example.net
Копитко,Августин,Григорійович,male,1978-06-27,Менеджер з маркетингу,селище Вознесенівка,"площа Старосінна, буд. 097, Решетилівка, 97628",067 246-35-39,tereza64@example.com
Радченко,Юстим,Вікторович,male,1978-06-19,PR-менеджер,селище Іловайськ,"проспект Косий, буд. 04 кв. 68, Кілія, 21812",+380 98 009-60-32,romanbabenko@example.org
Саєнко,Степан,Геннадійович,male,1992-09-16,Тестувальник,селище Буськ,"проспект Шишкіна, буд. 505 кв. 46, Ічня, 46466",+380 89 075 70 88,feofangzhytskyi@example.org
Савенко,Августин,Євгенович,male,1951-01-17,Аналітик даних,селище Кропивницький,"узвіз Локомотивний 4-й, буд. 800, Нетішин, 75958",+380 35 277-40-97,svitlana88@example.com
Затовканюк,Пармен,Володимирович,male,1987-06-01,Офіс-менеджер,селище Новояворівськ,"узвіз Миколи Огренича, буд. 7 кв. 043, Одеса, 71782",080 253 70 44,valentynapelekh@example.com
Деряжний,Леопольд,Назарович,male,2000-06-24,Програміст,село Мена ,"парк Амундсена, 3-й, буд. 947 кв. 228, Черкаси, 15174",+380 70 175-85-09,aaron02@example.com
Артюшенко,Орина,Костянтинівна,female,1958-11-05,Бухгалтер,село Тараща,"провулок Щоглова, буд. 2 кв. 5, Городище , 24097",+380 (99) 146-01-64,bohuslavahohol-ianovskyi@example.net
Андрійчук,Ігнат,Тарасович,male,1995-01-15,Менеджер з закупівель,селище Володимир-Волинський,"проспект Просвіти, буд. 145 кв. 804, Чернігів, 69770",+380 (40) 601-87-58,zorian28@example.net
Лубенець,Богодар,Назарович,male,1986-03-28,Дизайнер,хутір Нова Одеса,"шосе Солонцюватий 1-й, буд. 553, Нова Одеса, 71317",071 481-69-60,mykhailoverkhovynets@example.org
